accuracy,precision_attack,recall_attack,f1_attack,fpr,tn,fp,fn,tp,n,n_attack,average_precision,roc_auc,n_estimators,max_depth,min_samples_leaf,fit_seconds,split,scenario,subtype
0.9999807196394572,1.0,0.9993785925120398,0.9996891996891997,0.0,201028,0,4,6433,207465,6437,0.9998492752456534,0.9999154794874772,100,None,5,2.9,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9989067055393586}}"
0.9999807196394572,1.0,0.9993785925120398,0.9996891996891997,0.0,201028,0,4,6433,207465,6437,0.9998491788100148,0.9999157642595727,100,16,5,2.9,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9989067055393586}}"
0.9999758995493215,0.9998445756916382,0.9993785925120398,0.9996115297956647,4.974431422488409e-06,201027,1,4,6433,207465,6437,0.9998492510590254,0.9999138585662549,150,None,5,3.8,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9989067055393586}}"
0.9999710794591858,0.9996891996891997,0.9993785925120398,0.9995338719701679,9.948862844976819e-06,201026,2,4,6433,207465,6437,0.9998492510365262,0.999913868612489,150,16,5,4.0,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9989067055393586}}"
0.9999710794591858,0.9996891996891997,0.9993785925120398,0.9995338719701679,9.948862844976819e-06,201026,2,4,6433,207465,6437,0.9998490099978699,0.9999097654986722,300,16,5,7.4,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9989067055393586}}"
0.9999710794591858,0.9998445515311675,0.9992232406400497,0.9995337995337995,4.974431422488409e-06,201027,1,5,6432,207465,6437,0.9998490340908778,0.9999101580745868,300,None,5,7.9,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9985422740524781}}"
0.9998891379268793,0.9970551766893986,0.9993785925120398,0.9982155326247187,9.451419702727978e-05,201009,19,4,6433,207465,6437,0.9998645492667271,0.9999735830412076,100,10,5,2.8,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9989067055393586}}"
0.9998843178367436,0.9970547201984189,0.9992232406400497,0.9981378026070763,9.451419702727978e-05,201009,19,5,6432,207465,6437,0.9998618211264465,0.9999679301025941,150,10,5,4.1,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9985422740524781}}"
0.9998794977466079,0.9970542635658914,0.9990678887680596,0.9980600605261116,9.451419702727978e-05,201009,19,6,6431,207465,6437,0.9998583888368998,0.9999616859817467,300,10,5,7.7,random,with_port,"{'FTP-Patator': {'support': 3693, 'recall': 0.9997292174383969}, 'SSH-Patator': {'support': 2744, 'recall': 0.9981778425655977}}"
