accuracy,precision_attack,recall_attack,f1_attack,fpr,tn,fp,fn,tp,n,n_attack,threshold,average_precision,roc_auc,ftp_recall,ftp_support,ssh_recall,ssh_support,model,split,scenario,job,fit_seconds,max_depth,min_samples_leaf,n_estimators,learning_rate
0.9906685113773512,0.9971026490066225,0.5597118959107806,0.7169642857142857,3.5083850402461885e-05,199515,7,1895,2409,203826,4304,0.5,0.5690090415153649,0.7798482244544015,0.9962779156327544,2418,0.0,1886,decision_tree,time,with_port,W3-01,0.3,6,5.0,,
0.9906685113773512,0.9971026490066225,0.5597118959107806,0.7169642857142857,3.5083850402461885e-05,199515,7,1895,2409,203826,4304,0.5,0.5690090415153649,0.7798482244544015,0.9962779156327544,2418,0.0,1886,decision_tree,time,with_port,W3-01,0.3,6,10.0,,
0.9906685113773512,0.9971026490066225,0.5597118959107806,0.7169642857142857,3.5083850402461885e-05,199515,7,1895,2409,203826,4304,0.5,0.5690090415153649,0.7798482244544015,0.9962779156327544,2418,0.0,1886,decision_tree,time,with_port,W3-01,0.3,8,5.0,,
0.9906685113773512,0.9971026490066225,0.5597118959107806,0.7169642857142857,3.5083850402461885e-05,199515,7,1895,2409,203826,4304,0.5,0.5690090415153649,0.7798482244544015,0.9962779156327544,2418,0.0,1886,decision_tree,time,with_port,W3-01,0.2,8,10.0,,
0.9906685113773512,0.9971026490066225,0.5597118959107806,0.7169642857142857,3.5083850402461885e-05,199515,7,1895,2409,203826,4304,0.5,0.5690090415153649,0.7798482244544015,0.9962779156327544,2418,0.0,1886,decision_tree,time,with_port,W3-01,0.3,12,5.0,,
0.9906685113773512,0.9971026490066225,0.5597118959107806,0.7169642857142857,3.5083850402461885e-05,199515,7,1895,2409,203826,4304,0.5,0.5690090415153649,0.7798482244544015,0.9962779156327544,2418,0.0,1886,decision_tree,time,with_port,W3-01,0.3,12,10.0,,
0.9906685113773512,0.9971026490066225,0.5597118959107806,0.7169642857142857,3.5083850402461885e-05,199515,7,1895,2409,203826,4304,0.5,0.5690090415153649,0.7798482244544015,0.9962779156327544,2418,0.0,1886,decision_tree,time,with_port,W3-01,0.3,None,5.0,,
0.9906685113773512,0.9971026490066225,0.5597118959107806,0.7169642857142857,3.5083850402461885e-05,199515,7,1895,2409,203826,4304,0.5,0.5690090415153649,0.7798482244544015,0.9962779156327544,2418,0.0,1886,decision_tree,time,with_port,W3-01,0.3,None,10.0,,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.7208000742589473,0.8886693623876306,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,2.6,10,5.0,100.0,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.7326326415549664,0.8892384915421836,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,2.7,16,5.0,100.0,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.7326326415549664,0.8892384915421836,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,3.3,None,5.0,100.0,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.7100162478821987,0.8880961266478928,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,4.6,10,5.0,150.0,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.7201666562137385,0.8886646991747078,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,4.8,16,5.0,150.0,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.7201666562137385,0.8886646991747078,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,4.3,None,5.0,150.0,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.6970503018490571,0.888439434374549,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,7.4,10,5.0,300.0,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.7058816135969183,0.8890383891105691,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,12.0,16,5.0,300.0,
0.9907126666862912,1.0,0.5601765799256505,0.7180938198064035,0.0,199522,0,1893,2411,203826,4304,0.5,0.7058816135969183,0.8890383891105691,0.9971050454921423,2418,0.0,1886,random_forest,time,with_port,W3-03,9.3,None,5.0,300.0,
0.990673417522789,0.9966928482844151,0.5601765799256505,0.7172393276810948,4.009582903138501e-05,199514,8,1893,2411,203826,4304,0.5,0.5765961246176337,0.7985789923838047,0.9971050454921423,2418,0.0,1886,xgboost,time,with_port,W3-05,3.0,3,,100.0,0.08
0.990673417522789,0.9966928482844151,0.5601765799256505,0.7172393276810948,4.009582903138501e-05,199514,8,1893,2411,203826,4304,0.5,0.5766678568366486,0.7988979668610582,0.9971050454921423,2418,0.0,1886,xgboost,time,with_port,W3-05,1.8,4,,100.0,0.08
0.9907077605408535,0.9995854063018242,0.5601765799256505,0.7179868969624776,5.011978628923127e-06,199521,1,1893,2411,203826,4304,0.5,0.5766178889634076,0.7982284921650477,0.9971050454921423,2418,0.0,1886,xgboost,time,with_port,W3-05,2.5,6,,100.0,0.08
0.990673417522789,0.9966928482844151,0.5601765799256505,0.7172393276810948,4.009582903138501e-05,199514,8,1893,2411,203826,4304,0.5,0.6067225598564242,0.8767045297974054,0.9971050454921423,2418,0.0,1886,xgboost,time,with_port,W3-05,3.0,3,,200.0,0.08
